0,59703,2180,8036,6788,3850,5205,5328,27242,8488,5373,2308,9546,8088,25622,7361
52280,0,48597,58692,48555,48048,56102,55984,62986,46099,49566,50950,47158,58744,63334,45729
2180,56020,0,9587,5545,1857,6756,6879,26281,5773,3661,3211,6832,9639,24661,4188
8295,65662,9826,0,12747,10804,5773,5258,19664,17646,11331,7797,18142,3456,19972,14280
5283,56638,4301,11695,0,3737,6924,8987,24177,8622,2489,6954,7481,11747,22557,5844
5186,57053,2144,11598,4049,0,9008,8889,24592,4428,2165,6466,5480,11650,22972,3611
4269,61864,5800,5764,7074,6777,0,6408,18280,13848,6284,5939,14344,6822,27783,10247
2506,62200,4997,5149,9285,6883,5356,0,29739,9819,7870,2774,10878,5165,28120,8692
27907,69955,27005,20056,24181,26441,18557,31610,0,24262,25192,29577,25320,21960,5297,23920
7617,54013,5348,17380,7239,4784,12193,10354,23753,0,5715,7702,2037,17432,22133,1553
5498,54983,3536,11910,4361,2061,9320,9202,22256,4535,0,7023,5594,11962,20637,4168
1594,58341,3273,8859,7610,5159,6027,3656,28064,8095,6195,0,9154,8911,26445,6968
8528,54923,6258,18281,8139,5694,15691,11264,24653,1627,6615,8612,0,18333,23033,2464
8268,65820,9799,1128,12905,10776,6901,5416,20791,17804,11490,7898,18300,0,21099,14253
27826,69874,26925,19425,24100,26360,17926,31529,3566,24181,25112,29496,25240,21328,0,23839
6846,53241,4576,14253,6470,4012,11421,9582,22984,1642,4932,6930,2701,14305,21364,0
